,Location,Borough,Date Installed,geometry,B7SCList,B7SCStartingPoints,CrossStreets,NodeList,SimilarNamesList,StartingXStreets,combined_san1_boro_vol_page,combined_san2_boro_vol_page,in_boro,in_boro2,in_func_code,in_stname1,in_stname2,out_ad,out_atomic_polygon,out_boro_name1,out_cd,out_cd_eligible,out_cdta_2020,out_census_block_2020,out_census_tract_2000,out_census_tract_2010,out_census_tract_2020,out_co,out_com_dist,out_compass,out_dcp_pref_lgc1,out_dcp_pref_lgc2,out_dot_st_light_contract_area,out_error_message,out_fire_bat,out_fire_co,out_fire_co_str,out_fire_div,out_grc,out_health_area,out_health_center_dist,out_latitude,out_lion_node_num,out_longitude,out_mc,out_nta_2020,out_police_patrol_boro,out_police_pct,out_police_sector,out_reason_code,out_san_dist_section,out_san_sub_section,out_sanborn1_boro,out_sanborn1_page,out_sanborn1_vol,out_sanborn2_boro,out_sanborn2_page,out_sanborn2_vol,out_school_dist,out_sd,out_stname1,out_stname2,out_wa1_message,out_x_coord,out_y_coord,out_zip_code,AuxiliarySegmentIDList,HighB7SCList,LowB7SCList,add_from_st_code_name,add_on_st_code_name,add_to_st_code_name,dcp_preferred_from_st_code_name,dcp_preferred_to_st_code_name,in_boro3,in_compass_dir,in_stname3,out_No_Parking_lanes,out_No_Traveling_lanes,out_Total_Lanes,out_bike_lane,out_bike_traffic_direction,out_boro_name2,out_boro_name3,out_curve_flag,out_curve_flag_direction,out_dot_street_light_contract_area,out_dsny_snow_priority,out_feature_type,out_from_latitude,out_from_longitude,out_from_node,out_from_x_coord,out_from_y_coord,out_generic_id,out_grc2,out_left_nta,out_left_police_sector,out_left_side_atomic_polygon,out_left_side_blockface_id,out_left_side_boro,out_left_side_cd_eligibility,out_left_side_cdta_2020,out_left_side_census_block_2000,out_left_side_census_block_2010,out_left_side_census_block_2020,out_left_side_census_block_suffix_2020,out_left_side_census_tract_2000,out_left_side_census_tract_2010,out_left_side_census_tract_2020,out_left_side_comdist,out_left_side_comdist_boro,out_left_side_dot_street_light_contract_area,out_left_side_fire_bat,out_left_side_fire_co,out_left_side_fire_div,out_left_side_health_area,out_left_side_health_center_dist,out_left_side_hhnd,out_left_side_iaei,out_left_side_lhnd,out_left_side_nta_2020,out_left_side_police_patrol_boro,out_left_side_police_pct,out_left_side_police_sector,out_left_side_puma_code,out_left_side_school_dist,out_left_side_zip_code,out_lionkey,out_loc_status,out_on_street_b7sc_name,out_pgb_flag,out_physical_id,out_right_nta,out_right_of_way_type,out_right_police_sector,out_right_side_atomic_polygon,out_right_side_blockface_id,out_right_side_boro,out_right_side_cd_eligibility,out_right_side_cdta_2020,out_right_side_census_block_2000,out_right_side_census_block_2010,out_right_side_census_block_2020,out_right_side_census_block_suffix_2020,out_right_side_census_tract_2000,out_right_side_census_tract_2010,out_right_side_census_tract_2020,out_right_side_comdist,out_right_side_comdist_boro,out_right_side_dot_street_light_contract_area,out_right_side_fire_bat,out_right_side_fire_co,out_right_side_fire_div,out_right_side_health_area,out_right_side_health_center_dist,out_right_side_hhnd,out_right_side_iaei,out_right_side_lhnd,out_right_side_nta_2020,out_right_side_police_patrol_boro,out_right_side_police_pct,out_right_side_police_sector,out_right_side_puma_code,out_right_side_school_dist,out_right_side_zip_code,out_roadway_type,out_seg_side_atomic_polygon,out_seg_side_blockface_id,out_seg_side_boro,out_seg_side_cd_eligibility,out_seg_side_cdta_2020,out_seg_side_census_block_2000,out_seg_side_census_block_2010,out_seg_side_census_block_2020,out_seg_side_census_tract_2000,out_seg_side_census_tract_2010,out_seg_side_census_tract_2020,out_seg_side_comdist,out_seg_side_comdist_boro,out_seg_side_fire_bat,out_seg_side_fire_co,out_seg_side_fire_div,out_seg_side_health_area,out_seg_side_health_center_dist,out_seg_side_hhnd,out_seg_side_lhnd,out_seg_side_nta,out_seg_side_nta_2020,out_seg_side_police_patrol_boro,out_seg_side_police_pct,out_seg_side_puma_code,out_seg_side_school_dist,out_seg_side_zip_code,out_segment_id,out_segment_len,out_segment_type,out_sos_ind,out_speed_limit,out_stname3,out_street_width_irregular,out_street_width_max,out_street_width_min,out_to_latitude,out_to_longitude,out_to_node,out_to_x_coord,out_to_y_coord,out_traffic_direction,out_truck_route_type
20,4th Avenue and 54th Street,Brooklyn,10/21/2015,POINT (40.64423 -74.014907),,,,,"[{'b7sc': '30543001', 'streetName': '   4 AVENUE                     '}, {'b7sc': '30928001', 'streetName': '  54 STREET                     '}]",,3/06A/018 ,,3,3,2W,4TH AVENUE                      ,54TH STREET                     ,51,103,BROOKLYN ,10,CD Eligible,BK07,1002,  76  ,  76  ,  76  ,38,307, ,30543001/    4 AVENUE                     ,30928001/   54 STREET                     ,3,                                                                                ,40,Ladder 114,Ladder 114,8,00,65.00,39,40.644230,0013798,-74.014907 ,5,BK0702,BS,72, 72C, ,307/ 073,3C,3,018 ,06A, ,    ,   ,15,26,   4 AVENUE                     ,  54 STREET                     ,                                                                                ,980113,173987,11220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4th Avenue and 55th Street,Brooklyn,10/22/2015,POINT (40.64367 -74.015491),,,,,"[{'b7sc': '30543001', 'streetName': '   4 AVENUE                     '}, {'b7sc': '30933001', 'streetName': '  55 STREET                     '}]",,3/06A/018 ,,3,3,2W,4TH AVENUE                      ,55TH STREET                     ,51,201,BROOKLYN ,10,CD Eligible,BK07,2000,  76  ,  76  ,  76  ,38,307, ,30543001/    4 AVENUE                     ,30933001/   55 STREET                     ,3,                                                                                ,40,Ladder 114,Ladder 114,8,00,65.00,39,40.643670,0012206,-74.015491 ,5,BK0702,BS,72, 72C, ,307/ 073,3C,3,018 ,06A, ,    ,   ,20,26,   4 AVENUE                     ,  55 STREET                     ,                                                                                ,979951,173783,11220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4th Avenue and 59th Street,Brooklyn,1/6/2016,POINT (40.641435 -74.017815),,,,,"[{'b7sc': '30543001', 'streetName': '   4 AVENUE                     '}, {'b7sc': '30953001', 'streetName': '  59 STREET                     '}]",,3/06A/017 ,3/06A/015 ,3,3,2W,4TH AVENUE                      ,59TH STREET                     ,51,201,BROOKLYN ,10,CD Eligible,BK07,2000,  74  ,  74  ,  74  ,38,307, ,30543001/    4 AVENUE                     ,30953001/   59 STREET                     ,3,                                                                                ,40,Ladder 114,Ladder 114,8,00,77.00,31,40.641435,0012195,-74.017815 ,5,BK0702,BS,72, 72D, ,307/ 074,4C,3,017 ,06A,3,015 ,06A,20,26,   4 AVENUE                     ,  59 STREET                     ,                                                                                ,979306,172969,11220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4th Avenue and 60th Street,Brooklyn,4/17/2017,POINT (40.640837 -74.018431),,,,,"[{'b7sc': '30543001', 'streetName': '   4 AVENUE                     '}, {'b7sc': '30958001', 'streetName': '  60 STREET                     '}]",,3/06A/015 ,3/06A/016 ,3,3,2W,4TH AVENUE                      ,60TH STREET                     ,51,101,BROOKLYN ,10,CD Eligible,BK07,1000,  72  ,  72  ,  72  ,38,307, ,30543001/    4 AVENUE                     ,30958001/   60 STREET                     ,3,                                                                                ,40,Ladder 114,Ladder 114,8,00,76.00,31,40.640837,0012194,-74.018431 ,5,BK0702,BS,72, 72D, ,307/ 074,4C,3,015 ,06A,3,016 ,06A,20,26,   4 AVENUE                     ,  60 STREET                     ,                                                                                ,979135,172751,11220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4th Avenue and 9th Street,Brooklyn,10/26/2015,POINT (40.670358 -73.988713),,,,,"[{'b7sc': '30543001', 'streetName': '   4 AVENUE                     '}, {'b7sc': '30603001', 'streetName': '   9 STREET                     '}]",,3/06 /024 ,,3,3,2W,4TH AVENUE                      ,9TH STREET                      ,52,104,BROOKLYN ,10,Not CD Eligible,BK06,1002, 121  , 121  , 121  ,39,306, ,30543001/    4 AVENUE                     ,30603001/    9 STREET                     ,3,                                                                                ,48,Engine 239,Engine 239,11,00,43.00,38,40.670358,0014914,-73.988713 ,1,BK0601,BS,78, 78A, ,306/ 065,5C,3,024 ,06 , ,    ,   ,15,26,   4 AVENUE                     ,   9 STREET                     ,                                                                                ,987381,183506,11215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4th Avenue and Union Street,Brooklyn,10/18/2016,POINT (40.677406 -73.983048),,,,,"[{'b7sc': '30543001', 'streetName': '   4 AVENUE                     '}, {'b7sc': '38653001', 'streetName': 'UNION STREET                    '}]",,3/06 /027 ,,3,3,2W,4TH AVENUE                      ,UNION STREET                    ,52,112,BROOKLYN ,10,Not CD Eligible,BK06,2011, 125  , 119  , 119.01,39,306, ,30543001/    4 AVENUE                     ,38653001/ UNION STREET                    ,3,                                                                                ,31,Engine 226,Engine 226,11,00,43.00,38,40.677406,0015020,-73.983048 ,1,BK0601,BS,78, 78A, ,306/ 063,3C,3,027 ,06 , ,    ,   ,13,26,   4 AVENUE                     ,UNION STREET                    ,                                                                                ,988952,186074,11215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5th Avenue and 24th Street,Brooklyn,11/24/2021,POINT (40.65967 -73.99517),,,,,"[{'b7sc': '30558001', 'streetName': '   5 AVENUE                     '}, {'b7sc': '30758001', 'streetName': '  24 STREET                     '}, {'b7sc': '30768001', 'streetName': '  25 STREET                     '}]",,3/06 /017 ,3/06 /018 ,3,3,2W,5TH AVENUE                      ,24TH STREET                     ,51,101,BROOKLYN ,10,Not CD Eligible,BK07,1000, 101  , 101  , 101  ,38,307, ,30558001/    5 AVENUE                     ,30758001/   24 STREET                     ,3,                                                                                ,48,Ladder 122,Ladder 122,11,00,44.00,39,40.659670,0014139,-73.995170 ,5,BK0702,BS,72, 72A, ,307/ 072,2D,3,017 ,06 ,3,018 ,06 ,15,26,   5 AVENUE                     ,  24 STREET                     ,                                                                                ,985590,179612,11232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5th Avenue and 3rd Street,Brooklyn,6/24/2022,POINT (40.672798 -73.983284),,,,,"[{'b7sc': '30538001', 'streetName': '   3 STREET                     '}, {'b7sc': '30558001', 'streetName': '   5 AVENUE                     '}]",,3/06 /025 ,3/06 /036 ,3,3,2W,5TH AVENUE                      ,3RD STREET                      ,44,102,BROOKLYN ,10,Not CD Eligible,BK06,1001, 135  , 135  , 135  ,39,306, ,30558001/    5 AVENUE                     ,30538001/    3 STREET                     ,3,                                                                                ,48,Squad 1,Squad 1,11,00,42.00,38,40.672798,0015005,-73.983284 ,1,BK0602,BS,78, 78B, ,306/ 064,4C,3,025 ,06 ,3,036 ,06 ,15,26,   5 AVENUE                     ,   3 STREET                     ,                                                                                ,988887,184395,11215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5th Avenue and 89th Street,Brooklyn,12/12/2012,POINT (40.61975 -74.027715),,,,,"[{'b7sc': '30558001', 'streetName': '   5 AVENUE                     '}, {'b7sc': '31103001', 'streetName': '  89 STREET                     '}]",,3/11 /031 ,3/11 /037 ,3,3,2W,5TH AVENUE                      ,89TH STREET                     ,46,304,BROOKLYN ,11,CD Eligible,BK10,3000, 160  , 160  , 160  ,43,310, ,30558001/    5 AVENUE                     ,31103001/   89 STREET                     ,3,                                                                                ,42,Engine 242,Engine 242,8,00,78.20,31,40.619750,0011733,-74.027715 ,5,BK1001,BS,68, 68A, ,310/ 103,3E,3,031 ,11 ,3,037 ,11 ,20,26,   5 AVENUE                     ,  89 STREET                     ,                                                                                ,976556,165069,11209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,65th Street and Dahill Road,Brooklyn,1/6/2021,POINT (40.609463 -73.974184),,,,,"[{'b7sc': '30983001', 'streetName': '  65 STREET                     '}, {'b7sc': '33133001', 'streetName': 'DAHILL ROAD                     '}]",,3/13 /068 ,3/13 /071 ,3,3,2W,65TH STREET                     ,DAHILL ROAD                     ,47,101,BROOKLYN ,09,CD Eligible,BK11,1000, 434  , 434  , 434  ,44,311, ,30983001/   65 STREET                     ,33133001/ DAHILL ROAD                     ,3,                                                                                ,42,Engine 330,Engine 330,8,00,85.21,37,40.609463,0017267,-73.974184 ,5,BK1101,BS,62, 62B, ,311/ 111,1C,3,068 ,13 ,3,071 ,13 ,21,22,  65 STREET                     ,DAHILL ROAD                     ,                                                                                ,991418,161321,11204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,7th Avenue and 81st Street,Brooklyn,3/9/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7th Avenue and Sterling Place,Brooklyn,5/27/2022,POINT (40.677078 -73.973686),,,,,"[{'b7sc': '30578001', 'streetName': '   7 AVENUE                     '}, {'b7sc': '38143001', 'streetName': 'STERLING PLACE                  '}]",,3/06 /039 ,3/06 /040 ,3,3,2W,7TH AVENUE                      ,STERLING PLACE                  ,52,402,BROOKLYN ,10,Not CD Eligible,BK06,3000, 159  , 159  , 159  ,39,306, ,30578001/    7 AVENUE                     ,38143001/ STERLING PLACE                  ,3,                                                                                ,57,Ladder 105,Ladder 105,11,00,45.00,36,40.677078,0018617,-73.973686 ,6,BK0602,BS,78, 78C, ,306/ 063,3E,3,039 ,06 ,3,040 ,06 ,13,20,   7 AVENUE                     ,STERLING PLACE                  ,                                                                                ,991549,185955,11217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,86th Street and 19th Avenue,Brooklyn,9/20/2019,POINT (40.605936 -74.000457),,,,,"[{'b7sc': '30698001', 'streetName': '  19 AVENUE                     '}, {'b7sc': '31088001', 'streetName': '  86 STREET                     '}, {'b7sc': '36704701', 'streetName': 'NYCTA SUBWAY                    '}]",,3/12 /028 ,3/12 /057 ,3,3,2W,86TH STREET                     ,19TH AVENUE                     ,47,201,BROOKLYN ,11,CD Eligible,BK11,2001, 278  , 278  , 278  ,47,311, ,31088001/   86 STREET                     ,30698001/   19 AVENUE                     ,3,                                                                                ,42,Engine 243,Engine 243,8,00,84.00,31,40.605936,0013393,-74.000457 ,5,BK1101,BS,62, 62A, ,311/ 114,4E,3,028 ,12 ,3,057 ,12 ,20,17,  86 STREET                     ,  19 AVENUE                     ,                                                                                ,984123,160035,11214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,86th Street and Avenue W,Brooklyn,5/11/2022,POINT (40.591921 -73.977223),,,,,"[{'b7sc': '31088001', 'streetName': '  86 STREET                     '}, {'b7sc': '31473001', 'streetName': 'AVENUE W                        '}]",,3/14 /067 ,3/14 /066 ,3,3,2W,86TH STREET                     ,AVENUE W                        ,45,205,BROOKLYN ,08,CD Eligible,BK15,2009, 386  , 386  , 386  ,47,313, ,31088001/   86 STREET                     ,31473001/ AVENUE W                        ,3,                                                                                ,43,Ladder 161,Ladder 161,8,00,86.10,37,40.591921,0016347,-73.977223 ,8,BK1501,BS,60, 60B, ,313/ 131,1D,3,067 ,14 ,3,066 ,14 ,21,23,  86 STREET                     ,AVENUE W                        ,                                                                                ,990576,154930,11223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,86th Street and Battery Avenue,Brooklyn,9/10/2019,POINT (40.618938 -74.022005),,,,,"[{'b7sc': '31088001', 'streetName': '  86 STREET                     '}, {'b7sc': '31588001', 'streetName': 'BATTERY AVENUE                  '}]",,3/11 /038 ,3/11 /040 ,3,3,2W,86TH STREET                     ,BATTERY AVENUE                  ,46,208,BROOKLYN ,11,Not CD Eligible,BK10,2007, 140  , 140  , 140  ,43,310, ,31088001/   86 STREET                     ,31588001/ BATTERY AVENUE                  ,3,                                                                                ,42,Engine 242,Engine 242,8,00,79.10,31,40.618938,0011814,-74.022005 ,5,BK1002,BS,68, 68B, ,310/ 103,3E,3,038 ,11 ,3,040 ,11 ,20,26,  86 STREET                     ,BATTERY AVENUE                  ,                                                                                ,978141,164773,11228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,86th Street and Bay 22nd Street,Brooklyn,10/27/2015,POINT (40.605483 -73.999719),,,,,"[{'b7sc': '31088001', 'streetName': '  86 STREET                     '}, {'b7sc': '31648001', 'streetName': 'BAY   22 STREET                 '}, {'b7sc': '36704701', 'streetName': 'NYCTA SUBWAY                    '}]",,3/12 /028 ,3/12 /067 ,3,3,2W,86TH STREET                     ,BAY 22ND STREET                 ,47,203,BROOKLYN ,11,CD Eligible,BK11,2002, 284  , 284  , 284  ,47,311, ,31088001/   86 STREET                     ,31648001/ BAY   22 STREET                 ,3,                                                                                ,42,Engine 243,Engine 243,8,00,84.00,31,40.605483,0012797,-73.999719 ,5,BK1101,BS,62, 62A, ,311/ 114,4E,3,028 ,12 ,3,067 ,12 ,20,17,  86 STREET                     ,BAY   22 STREET                 ,                                                                                ,984328,159870,11214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,86th Street and Bay 34th Street,Brooklyn,5/12/2022,POINT (40.600136 -73.990864),,,,,"[{'b7sc': '31088001', 'streetName': '  86 STREET                     '}, {'b7sc': '31688001', 'streetName': 'BAY   34 STREET                 '}, {'b7sc': '36704701', 'streetName': 'NYCTA SUBWAY                    '}, {'b7sc': '30100401', 'streetName': 'ANTHONY NEGLIA WAY              '}]",,3/12 /030 ,3/12 /036 ,3,3,2W,86TH STREET                     ,BAY 34TH STREET                 ,47,301,BROOKLYN ,11,CD Eligible,BK11,3002, 298  , 298  , 298  ,47,311, ,31088001/   86 STREET                     ,31688001/ BAY   34 STREET                 ,3,                                                                                ,43,Engine 253,Engine 253,8,00,86.20,37,40.600136,0012896,-73.990864 ,5,BK1103,BS,62, 62D, ,311/ 115,5C,3,030 ,12 ,3,036 ,12 ,21,17,  86 STREET                     ,BAY   34 STREET                 ,                                                                                ,986787,157922,11214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,86th Street and Fort Hamilton Parkway,Brooklyn,4/16/2019,POINT (40.620437 -74.024466),,,,,"[{'b7sc': '31088001', 'streetName': '  86 STREET                     '}, {'b7sc': '34263001', 'streetName': 'FORT HAMILTON PARKWAY           '}]",,3/11 /037 ,3/11 /039 ,3,3,2W,86TH STREET                     ,FORT HAMILTON PARKWAY           ,46,112,BROOKLYN ,11,CD Eligible,BK10,1015, 142  , 142  , 142  ,43,310, ,31088001/   86 STREET                     ,34263001/ FORT HAMILTON PARKWAY           ,3,                                                                                ,42,Engine 242,Engine 242,8,00,79.10,31,40.620437,0011782,-74.024466 ,5,BK1001,BS,68, 68C, ,310/ 103,3E,3,037 ,11 ,3,039 ,11 ,20,26,  86 STREET                     ,FORT HAMILTON PARKWAY           ,                                                                                ,977458,165319,11209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,86th Street and Van Sicklen Street,Brooklyn,6/4/2021,POINT (40.591065 -73.975837),,,,,"[{'b7sc': '31088001', 'streetName': '  86 STREET                     '}, {'b7sc': '38703001', 'streetName': 'VAN SICKLEN STREET              '}]",,3/14 /067 ,,3,3,2W,86TH STREET                     ,VAN SICKLEN STREET              ,45,109,BROOKLYN ,08,CD Eligible,BK15,1004, 386  , 386  , 386  ,47,315, ,31088001/   86 STREET                     ,38703001/ VAN SICKLEN STREET              ,3,                                                                                ,43,Ladder 161,Ladder 161,8,00,86.10,37,40.591065,0016351,-73.975837 ,8,BK1501,BS,61, 61B, ,313/ 131,1D,3,067 ,14 , ,    ,   ,21,23,  86 STREET                     ,VAN SICKLEN STREET              ,                                                                                ,990961,154618,11223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,86th Street and West 6th Street,Brooklyn,7/16/2021,POINT (40.591452 -73.976513),,,,,"[{'b7sc': '31088001', 'streetName': '  86 STREET                     '}, {'b7sc': '39078001', 'streetName': 'WEST    6 STREET                '}]",,3/14 /067 ,,3,3,2W,86TH STREET                     ,WEST 6TH STREET                 ,45,204,BROOKLYN ,08,CD Eligible,BK15,2008, 386  , 386  , 386  ,47,315, ,31088001/   86 STREET                     ,39078001/ WEST    6 STREET                ,3,                                                                                ,43,Ladder 161,Ladder 161,8,00,86.10,37,40.591452,0016348,-73.976513 ,8,BK1501,BS,61, 61B, ,313/ 131,1D,3,067 ,14 , ,    ,   ,21,23,  86 STREET                     ,WEST    6 STREET                ,                                                                                ,990773,154759,11223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,86th Street between 4th Avenue and 5th Avenue,Brooklyn,2/22/2016,"LINESTRING (40.622799 -74.02835, 40.621493 -74.026213)",,,,,[],,,,3,3,3 ,86TH STREET                     ,4TH AVENUE                      ,,,BROOKLYN ,,,,,,,,,,False,,,,                                                                                ,,,,,00,,,,,,,,,,, ,,,,,,,,,,,  86 STREET                     ,   4 AVENUE                     ,                                                                                ,,,,[{'ID': '0017079'}],"[{'b7sc': '305580  ', 'streetName': '                                '}]","[{'b7sc': '305430  ', 'streetName': '                                '}]",,,,30543001 / 4 AVENUE,30558001 / 5 AVENUE,3, ,5TH AVENUE                      , 2, 4, 6,  ,  ,,,None,,3,Critical,Street,40.622799,-74.028350 ,0011738,976380,166180,0032088,,BK31:                                                                            , 68C ,302,18226,Brooklyn,CD Eligible,BK10,3001,3001,3001,, 138  , 138  , 138  ,10,Brooklyn,,42,Engine 242,8,79.10,31   ,0000499         ,,0000401         ,BK1001,BS,68,,04013,20,11209,3943201060,X,31088001 /   86 STREET                     ,PPP,0037066,BK31:                                                                            , , 68A ,404,18226,Brooklyn,CD Eligible,BK10,4002,4000,4000,, 160  , 160  , 160  ,10,Brooklyn,,42,Engine 242,8,78.20,31   ,0000498         ,,0000406         ,BK1001,BS,68,,04013,20,11209,Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,0017079,761,Undivided,,25,   5 AVENUE                     ,, 60, 60,40.621493,-74.026213 ,0011737,976973,165704,Two-way Street, 
41,86th Street between West 8th Street and West 9th Street (mid-block),Brooklyn,12/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"86th Street with McDonald Avenue, Avenue X and Shell Road",Brooklyn,8/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,87th Street between 4th Avenue and 5th Avenue (mid-block),Brooklyn,3/15/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
